전씨	전/NNP+씨/NNB
물가	물가/NNG
안정기의	안정기/NNG+의/JKG
금융	금융/NNG
팽창	팽창/NNG
정책은	정책/NNG+은/JX
잠재적	잠재/NNG+적/XSN
인플레이션의	인플레이션/NNG+의/JKG
원인이	원인/NNG+이/JKC
되는	되/VV+는/ETM
것이므로	것/NNB+이/VCP+므로/EC
우리	우리/NP
모두는	모두/NNG+는/JX
이를	이/NP+를/JKO
경계할	경계/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VV+다/EF+./SF

"답답했던가	"/SS+답답/XR+하/XSA+았/EP+던가/EC
보지요.	보/VX+지요/EF+./SF

민간소비지출을	민간/NNG+소비/NNG+지출/NNG+을/JKO
비목별로	비목/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
음식료품	음식료품/NNG
및	및/MAJ
담배,	담배/NNG+,/SP
의류	의류/NNG
및	및/MAJ
신발,	신발/NNG+,/SP
주거비	주거비/NNG
등의	등/NNB+의/JKG
基礎生活費가	基礎生活費/SH+가/JKS
민간소비지출	민간/NNG+소비/NNG+지출/NNG
총액의	총액/NNG+의/JKG
38.3%로	38/SN+./SF+3/SN+%/SW+로/JKB
가장	가장/MAG
크게	크/VA+게/EC
나타났고	나타나/VV+았/EP+고/EC
교통	교통/NNG
및	및/MAJ
통신비,	통신비/NNG+,/SP
교육	교육/NNG
및	및/MAJ
문화오락비	문화/NNG+오락비/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
支出도	支出/SH+도/JX
크게	크/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF

이러한	이러/XR+하/XSA+ㄴ/ETM
의미로	의미/NNG+로/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
대자율기와	대자/NNG+율기/NNG+와/JC
대타율기의	대타율기/NNG+의/JKG
덕성을	덕성/NNG+을/JKO
함양해	함양/NNG+하/XSV+아/EC
나가기	나가/VX+기/ETN
위한	위하/VV+ㄴ/ETM
노력은	노력/NNG+은/JX
게을리	게을리/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF

아니야,	아니야/IC+,/SP
난	나/NP+ㄴ/JX
달라.	다르/VA+아/EF+./SF

초혼의례,	초혼/NNG+의례/NNG+,/SP
일정한	일정/XR+하/XSA+ㄴ/ETM
기간이	기간/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
다음	다음/NNG
입관을	입관/NNG+을/JKO
하는	하/VV+는/ETM
행위라든지	행위/NNG+이/VCP+라든지/EC
3·5일,	3/SN+·/SP+5/SN+일/NNB+,/SP
유월(踰月)	유월/NNG+(/SS+踰月/SH+)/SS
·	·/SP
3월	3/SN+월/NNB
·	·/SP
5월장	5/SN+월/NNB+장/NNG
등	등/NNB
경일장(經日葬)	경일장/NNG+(/SS+經日葬/SH+)/SS
풍속과	풍속/NNG+과/JC
복장제의	복장/NNG+제/XSN+의/JKG
1차장·2차장과	1/SN+차장/NNG+·/SP+2/SN+차장/NNG+과/JKB
같은	같/VA+은/ETM
습속	습속/NNG
등은	등/NNB+은/JX
모두	모두/MAG
일종의	일종/NNG+의/JKG
사자의	사자/NNG+의/JKG
죽음을	죽음/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
의미로	의미/NNG+로/JKB
해석할	해석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VV+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF

그	그/MM
한없는	한없/VA+는/ETM
순응은	순응/NNG+은/JX
그녀로	그녀/NP+로/JKB
하여금	하여금/MAG
본능적인	본능/NNG+적/XSN+이/VCP+ㄴ/ETM
살의를	살의/NNG+를/JKO
일깨웠다.	일깨우/VV+었/EP+다/EF+./SF

그러므로	그러므로/MAJ
언제나	언제나/MAG
규범으로의	규범/NNG+으로/JKB+의/JKG
가례와	가례/NNG+와/JC
민속은	민속/NNG+은/JX
구별해야	구별/NNG+하/XSV+아야/EC
하며,	하/VX+며/EC+,/SP
이때	이때/NNG
우리의	우리/NP+의/JKG
민간	민간/NNG
생활문화로서의	생활/NNG+문화/NNG+로서/JKB+의/JKG
의미는	의미/NNG+는/JX
당연히	당연히/MAG
후자에	후자/NNG+에/JKB
있다	있/VV+다/EC
하겠다.	하/VV+겠/EP+다/EF+./SF

따라서	따라서/MAJ
보통	보통/MAG
선원	선원/NNG
1인(원짓)당	1/SN+인/NNG+(/SS+원짓/NNG+)/SS+당/XSN
여름철	여름철/NNG
3개월	3/SN+개월/NNB
동안에	동안/NNG+에/JKB
멸치잡이로	멸치/NNG+잡이/NNG+로/JKB
얻은	얻/VV+은/ETM
수입은	수입/NNG+은/JX
1967년에	1967/SN+년/NNB+에/JKB
평균	평균/NNG
5만원이었는데,	5/SN+만/NR+원/NNB+이/VCP+었/EP+는데/EC+,/SP
1968년에는	1968/SN+년/NNB+에/JKB+는/JX
4만	4/SN+만/NR
2천원이었다.	2/SN+천/NR+원/NNB+이/VCP+었/EP+다/EF+./SF

나는	나/NP+는/JX
그때	그때/NNG
그런	그런/MM
화장을	화장/NNG+을/JKO
처음	처음/NNG
보았다.	보/VV+았/EP+다/EF+./SF

현대	현대/NNP
선발	선발/NNG
김수경에게	김수경/NNP+에게/JKB
부담을	부담/NNG+을/JKO
주지	주/VV+지/EC
않으려고	않/VX+으려고/EC
그랬을까?	그러/VV+었/EP+을까/EF+?/SF

당시	당시/NNG
中東학교는	中東/SH+학교/NNG+는/JX
晩學하는	晩學/SH+하/XSV+는/ETM
사람들을	사람/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
일종의	일종/NNG+의/JKG
速成[각종	速成/SH+[/SS+각종/NNG
학교]였다.	학교/NNG+]/SS+이/VCP+었/EP+다/EF+./SF

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
오늘날	오늘날/NNG
우리네	우리/NP+네/XSN
학교교육이나	학교/NNG+교육/NNG+이나/JC
가정교육을	가정교육/NNG+을/JKO
들여다보면	들여다보/VV+면/EC
교육이	교육/NNG+이/JKS
교육받는	교육/NNG+받/VV+는/ETM
사람의	사람/NNG+의/JKG
해방을	해방/NNG+을/JKO
추구하기는커녕	추구/NNG+하/XSV+기/ETN+는커녕/JX
오히려	오히려/MAJ
그들에게	그/NP+들/XSN+에게/JKB
엄청난	엄청나/VA+ㄴ/ETM
구속을	구속/NNG+을/JKO
가져다줄	가져다주/VV+ㄹ/ETM
때가	때/NNG+가/JKS
많다.	많/VA+다/EF+./SF

경기	경기/NNG
시작을	시작/NNG+을/JKO
알리는	알리/VV+는/ETM
징소리.	징/NNG+소리/NNG+./SF

워낙	워낙/MAG
남자다운지라	남자/NNG+답/XSA+ㄴ지라/EC
권위적인	권위/NNG+적/XSN+이/VCP+ㄴ/ETM
남편이	남편/NNG+이/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같았던	같/VA+았/EP+던/ETM
조국이	조국/NNP+이/JKS
가정적이	가정/NNG+적/XSN+이/JKC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
아내에게보다는	아내/NNG+에게/JKB+보다/JKB+는/JX
딸에게	딸/NNG+에게/JKB
꼼짝	꼼짝/MAG
못하기	못/MAG+하/VV+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것	것/NNB
같았다.	같/VA+았/EP+다/EF+./SF

그는	그/NP+는/JX
{금오신화}의	{/SS+금오신화/NNP+}/SS+의/JKG
주인공들을	주인공/NNG+들/XSN+을/JKO
주어진	주어지/VV+ㄴ/ETM
운명에	운명/NNG+에/JKB
저항하는	저항/NNG+하/XSV+는/ETM
인물로	인물/NNG+로/JKB
형상화하였다.	형상/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF

신한국당이	신한국당/NNP+이/JKS
제1차	제/XPN+1/SN+차/NNB
전당대회	전당/NNG+대회/NNG
및	및/MAJ
총선	총선/NNG
필승	필승/NNG
전진대회를	전진/NNG+대회/NNG+를/JKO
열어	열/VV+어/EC
결의를	결의/NNG+를/JKO
다진	다지/VV+ㄴ/ETM
것도	것/NNB+도/JX
필승의	필승/NNG+의/JKG
중대성을	중대/XR+성/XSN+을/JKO
새삼	새삼/MAG
재인식하기	재/XPN+인식/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VV+다/EF+./SF

이러한	이러/XR+하/XSA+ㄴ/ETM
악폐가	악폐/NNG+가/JKS
극심해지자	극심/XR+하/XSA+아/EC+지/VX+자/EC
드디어	드디어/MAG
고종	고종/NNP
8년(1871)에	8/SN+년/NNB+(/SS+1871/SN+)/SS+에/JKB
흥선대원군은	흥선대원군/NNP+은/JX
전국의	전국/NNG+의/JKG
서원	서원/NNG
중	중/NNB
47개만을	47/SN+개/NNB+만/JX+을/JKO
남기고	남기/VV+고/EC
모두	모두/MAG
철폐해버렸다.	철폐/NNG+하/XSV+아/EC+버리/VX+었/EP+다/EF+./SF

타협의	타협/NNG+의/JKG
유가와	유가/NNG+와/JC
저항의	저항/NNG+의/JKG
낭불	낭불/NNG
앞에서	앞/NNG+에서/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
이성계의	이성계/NNP+의/JKG
위화도회군은	위화도회군/NNP+은/JX
단순히	단순히/MAG
하나의	하나/NR+의/JKG
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
사건으로	사건/NNG+으로/JKB
끝나지	끝나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF

이를	이/NP+를/JKO
금융자산	금융/NNG+자산/NNG
형태별로	형태/NNG+별/XSN+로/JKB
나누어	나누/VV+어/EC
보면	보/VX+면/EC
현금·예금·보험의	현금/NNG+·/SP+예금/NNG+·/SP+보험/NNG+의/JKG
비율이	비율/NNG+이/JKS
1.60에서	1/SN+./SF+60/SN+에서/JKB
1.72로	1/SN+./SF+72/SN+로/JKB
높아졌고	높/VA+아/EC+지/VX+었/EP+고/EC
유가증권의	유가/NNG+증권/NNG+의/JKG
비율도	비율/NNG+도/JX
1.33에서	1/SN+./SF+33/SN+에서/JKB
1.47로	1/SN+./SF+47/SN+로/JKB
높아졌다.	높/VA+아/EC+지/VX+었/EP+다/EF+./SF

내려다보기가	내려다보/VV+기/ETN+가/JKS
좋을	좋/VA+을/ETM
겁니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF

토론	토론/NNG
과정이	과정/NNG+이/JKS
제대로	제대로/MAG
운영된다면	운영/NNG+되/XSV+ㄴ다면/EC
그	그/MM
결과에	결과/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
통일안은	통일안/NNG+은/JX
법제화를	법제/NNG+화/XSN+를/JKO
기다릴	기다리/VV+ㄹ/ETM
것	것/NNB
없이	없이/MAG
당국의	당국/NNG+의/JKG
행정력만으로도	행정력/NNG+만/JX+으로/JKB+도/JX
시행될	시행/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF

느린	느리/VA+ㄴ/ETM
걸음이기는	걸음/NNG+이/VCP+기/ETN+는/JX
하지만	하/VX+지만/EC
그	그/MM
정도	정도/NNG
시간이면	시간/NNG+이/VCP+면/EC
충분히	충분히/MAG
나	나/VV+아/EC
있는	있/VX+는/ETM
데까지	데/NNB+까지/JX
이를	이르/VV+ㄹ/ETM
수	수/NNB
있을	있/VV+을/ETM
터인데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
이상하다	이상/XR+하/XSA+다/EC
싶었다.	싶/VX+었/EP+다/EF+./SF

하는	하/VV+는/ETM
요량도	요량/NNG+도/JX
서야	서/VV+어야/EC
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF

그는	그/NP+는/JX
자세를	자세/NNG+를/JKO
바로잡고	바로잡/VV+고/EC
두	두/MM
손을	손/NNG+을/JKO
모으고	모으/VV+고/EC
엎드렸다.	엎드리/VV+었/EP+다/EF+./SF

【서영호	【/SS+서영호/NNP
기자】	기자/NNG+】/SS
민족	민족/NNG
화해와	화해/NNG+와/JC
일치	일치/NNG
기도의	기도/NNG+의/JKG
날	날/NNG
특별	특별/XR
인터뷰	인터뷰/NNG
/	//SP
이동호	이동호/NNP
아빠스(북선위	아빠스/NNG+(/SS+북선위/NNP
위원장)	위원장/NNG+)/SS
"남북한간,	"/SS+남북한/NNP+간/NNB+,/SP
특히	특히/MAG
정치	정치/NNG
지도자들	지도자/NNG+들/XSN
간에	간/NNB+에/JKB
아직도	아직/MAG+도/JX
대화와	대화/NNG+와/JC
신뢰의	신뢰/NNG+의/JKG
분위기가	분위기/NNG+가/JKS
형성되지	형성/NNG+되/XSV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것	것/NNB
같아	같/VA+아/EC
정말	정말/MAG
안타깝습니다.	안타깝/VA+습니다/EF+./SF

이에	이/NP+에/JKB
더해	더하/VV+아/EC
창의성과	창의/NNG+성/XSN+과/JC
보편성의	보편/NNG+성/XSN+의/JKG
조화가	조화/NNG+가/JKS
훌륭한	훌륭/XR+하/XSA+ㄴ/ETM
글의	글/NNG+의/JKG
요체이다.	요체/NNG+이/VCP+다/EF+./SF

승주의	승주/NNP+의/JKG
뒷집과	뒷집/NNG+과/JC
아랫집,	아랫집/NNG+,/SP
옆집	옆집/NNG
등	등/NNB
동네	동네/NNG
여학생들이	여학생/NNG+들/XSN+이/JKS
영문	영문/NNG
모르고	모르/VV+고/EC
동원되었다.	동원/NNG+되/XSV+었/EP+다/EF+./SF

줄다리기	줄다리기/NNG
외교를	외교/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
北韓을	北韓/SH+을/JKO
의식해야	의식/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
소련이나	소련/NNP+이나/JC
중국이	중국/NNP+이/JKS
올림픽을	올림픽/NNG+을/JKO
계기로	계기/NNG+로/JKB
자연스럽게	자연/NNG+스럽/XSA+게/EC
對韓접촉을	對韓/SH+접촉/NNG+을/JKO
적극화하고	적극/NNG+화/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF

전형료	전형료/NNG
때문에	때문/NNB+에/JKB
응시를	응시/NNG+를/JKO
못하는	못하/VX+는/ETM
학생도	학생/NNG+도/JX
있을	있/VV+을/ETM
수	수/NNB
있다.	있/VV+다/EF+./SF

저	저/MM
아삽의	아삽/NNP+의/JKG
젊은	젊/VA+은/ETM
아내나	아내/NNG+나/JC
소년	소년/NNG
시절에	시절/NNG+에/JKB
이따금씩	이따금/MAG+씩/XSN
가슴설레게한	가슴/NNG+설레/VV+게/EC+하/VX+ㄴ/ETM
적이	적/NNB+이/JKS
있는	있/VV+는/ETM
몇몇	몇몇/MM
고향	고향/NNG
아가씨들에서는	아가씨/NNG+들/XSN+에서/JKB+는/JX
느껴	느끼/VV+어/EC
보지	보/VX+지/EC
못한	못하/VX+ㄴ/ETM
이상한	이상/XR+하/XSA+ㄴ/ETM
아름다움이었다.	아름답/VA+ㅁ/ETN+이/VCP+었/EP+다/EF+./SF

그가	그/NP+가/JKS
문자를	문자/NNG+를/JKO
써서	쓰/VV+어서/EC
유식하게	유식/NNG+하/XSA+게/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
경우는	경우/NNG+는/JX
그처럼	그/NP+처럼/JKB
구구단	구구단/NNG
외에	외/NNB+에/JKB
유일하게	유일/NNG+하/XSA+게/EC
암기에	암기/NNG+에/JKB
성공했던	성공/NNG+하/XSV+았/EP+던/ETM
'국민교육헌장'을	'/SS+국민교육헌장/NNP+'/SS+을/JKO
인용할	인용/NNG+하/XSV+ㄹ/ETM
때뿐이다.	때/NNG+뿐/JX+이/VCP+다/EF+./SF

순지,	순지/NNP+,/SP
난	나/NP+ㄴ/JX
널	너/NP+ㄹ/JKO
사랑해.	사랑/NNG+하/XSV+아/EF+./SF

그러나	그러나/MAJ
단연코	단연코/MAG
이번	이번/NNG
동인지의	동인지/NNG+의/JKG
압권은	압권/NNG+은/JX
최창균의	최창균/NNP+의/JKG
[산이	[/SS+산/NNG+이/JKS
상영중인	상영/NNG+중/NNB+이/VCP+ㄴ/ETM
영화에	영화/NNG+에/JKB
대하여]라고	대하/VV+아/EC+]/SS+이/VCP+라고/EC
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VV+다/EF+./SF

요컨대	요컨대/MAG
華의	華/SH+의/JKG
이	이/MM
논문은	논문/NNG+은/JX
毛가	毛/SH+가/JKS
28년	28/SN+년/NNB
전에	전/NNG+에/JKB
한	한/MM
肉聲을	肉聲/SH+을/JKO
28년이	28/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
환경에	환경/NNG+에/JKB
그대로	그대로/MAG
옮긴	옮기/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
만큼	만큼/NNB
성격이	성격/NNG+이/JKS
비슷하다.	비슷/XR+하/XSA+다/EF+./SF

〈이재국기자〉	〈/SS+이재국/NNP+기자/NNG+〉/SS
어느	어느/MM
중소기업의	중소기업/NNG+의/JKG
흑자도산	흑자/NNG+도산/NNG
굴착·천공	굴착/NNG+·/SP+천공/NNG
분야에서	분야/NNG+에서/JKB
독보적	독보/NNG+적/XSN
위치를	위치/NNG+를/JKO
자랑해온	자랑/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
유망중소기업,	유망/NNG+중소기업/NNG+,/SP
삼보지질의	삼보지질/NNP+의/JKG
부도는	부도/NNG+는/JX
지금	지금/MAG
중소기업들이	중소기업/NNG+들/XSN+이/JKS
얼마나	얼마나/MAG
열악한	열악/XR+하/XSA+ㄴ/ETM
환경	환경/NNG
속에서	속/NNG+에서/JKB
악전고투하고	악전고투/NNG+하/XSV+고/EC
있는지를	있/VX+는지/EC+를/JKO
웅변해준다.	웅변/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF

대부분	대부분/NNG
학생들은	학생/NNG+들/XSN+은/JX
장화가	장화/NNG+가/JKS
없어	없/VA+어/EC
맨발로	맨/XPN+발/NNG+로/JKB
논에	논/NNG+에/JKB
들어가	들어가/VV+아/EC
일하다가	일/NNG+하/XSV+다가/EC
낫에	낫/NNG+에/JKB
발가락을	발가락/NNG+을/JKO
찍혀	찍히/VV+어/EC
병원으로	병원/NNG+으로/JKB
실려	실리/VV+어/EC
가는	가/VV+는/ETM
경우도	경우/NNG+도/JX
종종	종종/MAG
있었다.	있/VV+었/EP+다/EF+./SF

아직	아직/MAG
겉으로는	겉/NNG+으로/JKB+는/JX
백성들	백성/NNG+들/XSN
앞에	앞/NNG+에/JKB
몸을	몸/NNG+을/JKO
드러내지	드러내/VV+지/EC
않아도	않/VX+아도/EC
히메루스는	히메루스/NNP+는/JX
이미	이미/MAG
제관들과	제관/NNG+들/XSN+과/JC
장로들을	장로/NNG+들/XSN+을/JKO
통해	통하/VV+아/EC
자신이	자신/NNG+이/JKS
나타날	나타나/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
틀림없는	틀림없/VA+는/ETM
예언으로	예언/NNG+으로/JKB
그들	그/NP+들/XSN
사이에	사이/NNG+에/JKB
퍼뜨려놓고	퍼뜨리/VV+어/EC+놓/VX+고/EC
있어요.	있/VX+어요/EF+./SF

그	그/MM
의문에	의문/NNG+에/JKB
아무런	아무런/MM
모범	모범/NNG
답안도	답안/NNG+도/JX
못	못/MAG
만들어	만들/VV+어/EC
낸	내/VX+ㄴ/ETM
채	채/NNB
유신	유신/NNG
시대의	시대/NNG+의/JKG
저녁과	저녁/NNG+과/JC
80년의	80/SN+년/NNB+의/JKG
아침과	아침/NNG+과/JC
또	또/MAJ
그렇고	그렇/VA+고/EC
그런	그런/MM
어지러운	어지럽/VA+ㄴ/ETM
세상을	세상/NNG+을/JKO
나는	나/NP+는/JX
흘러왔습니다.	흘러오/VV+았/EP+습니다/EF+./SF

단,	단/MAJ+,/SP
모든	모든/MM
지로대금이나	지로/NNG+대금/NNG+이나/JC
집금계좌송금이	집금/NNG+계좌/NNG+송금/NNG+이/JKS
바로	바로/MAG
시행	시행/NNG
가능한	가능/XR+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
아니고,	아니/VCN+고/EC+,/SP
우선	우선/MAG
지로대금	지로/NNG+대금/NNG
수납업체나	수납/NNG+업체/NNG+나/JC
집금계좌	집금/NNG+계좌/NNG
보유업체가	보유/NNG+업체/NNG+가/JKS
한일은행과	한일/NNP+은행/NNG+과/JKB
계약을	계약/NNG+을/JKO
체결해야	체결/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF

어떤	어떤/MM
논의	논의/NNG
벼는	벼/NNG+는/JX
우리를	우리/NP+를/JKO
맞이하는	맞이/XR+하/XSV+는/ETM
듯이	듯이/NNB
이삭을	이삭/NNG+을/JKO
숙이고	숙이/VV+고/EC
바람에	바람/NNG+에/JKB
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF

지난	지나/VV+ㄴ/ETM
날의	날/NNG+의/JKG
高出産·高死亡에서	高出産/SH+·/SP+高死亡/SH+에서/JKB
이제	이제/MAG
低出産·低死亡의	低出産/SH+·/SP+低死亡/SH+의/JKG
시대로	시대/NNG+로/JKB
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF

1.	1/SN+./SF
한국	한국/NNP
·	·/SP
필리핀	필리핀/NNP
·	·/SP
대만	대만/NNP
·	·/SP
월남	월남/NNP
·	·/SP
말레이지아	말레이지아/NNP
·	·/SP
태국	태국/NNP
·	·/SP
인도	인도/NNP
등	등/NNB
대표와	대표/NNG+와/JKB
함께	함께/MAG
자주	자주/MAG
모여	모이/VV+어/EC
강연도	강연/NNG+도/JX
하고	하/VV+고/EC
듣고	듣/VV+고/EC
했는데,	하/VX+았/EP+는데/EC+,/SP
영어를	영어/NNP+를/JKO
몰라	모르/VV+아/EC
고심했다.	고심/NNG+하/XSV+았/EP+다/EF+./SF

무용이란	무용/NNG+이/VCP+란/ETM
것은,	것/NNB+은/JX+,/SP
교사가	교사/NNG+가/JKS
장구를	장구/NNG+를/JKO
쳐	치/VV+어/EC
주면	주/VX+면/EC
거추장스런	거추장스럽/VA+ㄴ/ETM
궁녀의	궁녀/NNG+의/JKG
옷을	옷/NNG+을/JKO
입은	입/VV+은/ETM
아이들이	아이/NNG+들/XSN+이/JKS
앉았다가	앉/VV+았/EP+다가/EC
섰다가	서/VV+었/EP+다가/EC
절을	절/NNG+을/JKO
했다가	하/VV+았/EP+다가/EC
하는	하/VX+는/ETM
궁중무용,	궁중/NNG+무용/NNG+,/SP
여자	여자/NNG
아이들이	아이/NNG+들/XSN+이/JKS
옛날의	옛날/NNG+의/JKG
남자옷이란	남자/NNG+옷/NNG+이/VCP+란/ETM
것을	것/NNB+을/JKO
입고	입/VV+고/EC
농부의	농부/NNG+의/JKG
흉내를	흉내/NNG+를/JKO
내는	내/VV+는/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF

오늘은	오늘/NNG+은/JX
뭔가	뭐/NP+이/VCP+ㄴ가/EC
풀릴	풀리/VV+ㄹ/ETM
줄	줄/NNB
알았다.	알/VV+았/EP+다/EF+./SF

그	그/MM
10代소년은	10/SN+代/SH+소년/NNG+은/JX
한구석에	한구석/NNG+에/JKB
